"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,SEASON_DESCRIPTION,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
States,New York,Season 2017-18,1062,60,383,5,5,1,31,0
States,North Carolina,Season 2017-18,263,16,57,0,2,5,15,0
States,North Dakota,Season 2017-18,466,24,347,3,2,4,37,0
States,Ohio,Season 2017-18,704,57,484,0,2,1,28,0
States,Oklahoma,Season 2017-18,217,41,58,10,1,1,13,0
States,Oregon,Season 2017-18,505,106,151,0,154,0,1,0
States,Pennsylvania,Season 2017-18,739,39,239,4,6,5,88,0
States,Rhode Island,Season 2017-18,214,2,65,0,0,1,10,0
States,South Carolina,Season 2017-18,306,19,97,0,2,0,18,0
States,South Dakota,Season 2017-18,471,3,227,2,0,1,50,0
States,Tennessee,Season 2017-18,1252,2,117,32,39,0,0,0
States,Texas,Season 2017-18,532,41,133,3,21,1,25,0
States,Utah,Season 2017-18,633,37,430,0,1,9,45,0
States,Vermont,Season 2017-18,146,3,81,0,8,0,0,0
States,Virginia,Season 2017-18,533,34,226,0,1,2,45,0
States,Washington,Season 2017-18,379,27,110,8,20,1,30,0
States,West Virginia,Season 2017-18,365,38,169,0,10,10,39,0
States,Wisconsin,Season 2017-18,2307,41,696,12,2,5,71,0
States,Wyoming,Season 2017-18,420,18,102,1,3,0,35,0
States,Puerto Rico,Season 2017-18,302,2,228,0,1,0,46,0
States,Virgin Islands,Season 2017-18,X,X,X,X,X,X,X,X
States,New York City,Season 2017-18,X,X,X,X,X,X,X,X
